id,prod_id,product_name,unit,quantity,rate,tax_rate,total,description,discount_rate,discount_amount,sequence,tax_amount,unique_key_fk_purchase,unique_key_fk_product,unique_key_list_item,local_purchase_id,org_Id,purchase_product_code,taxable_flag,tax_list,unique_key_fk_return_purchase,unique_key_return_purchase_list_item
75,0,Dell 7350 M-5Y71C 8gb\/256gb (Detachable) 2 In 1,,1,10000,0,10000,,0,0,0,0,03140fb9a2e59e0b1728711892505,03140fb9a2e59e0b1728711889537,03140fb9a2e59e0b1728711892515,0,61545,,0,[],,
76,0,SMPS,,4,400,0,1600,,0,0,0,0,Purchase@1729054029554808ffc70qjvxcltdt,56de6bdb8d73b1011723044003957,PurchaseItem@172905405085382dc85e66h6qid8s3,0,61545,,0,[],,
77,0,keyboard silicone cover,,5,16,0,80,,0,0,0,0,Purchase@1729054029554808ffc70qjvxcltdt,Product@1729054112260b820e6ccljim1fjpp,PurchaseItem@172905411236685ea13famc9rvyhid,0,61545,,0,[],,
78,0,Charger 18.5v,,1,300,0,300,Techie,0,0,0,0,Purchase@1729054029554808ffc70qjvxcltdt,Product@1729054150400b9431134sopc83ixh,PurchaseItem@17290541505118b8cabe183rvwhixq,0,61545,65w,0,[],,
79,0,V3 Cable,,2,40,0,80,,0,0,0,0,Purchase@1729054029554808ffc70qjvxcltdt,Product@1729054234797888d46ac7yipb3sop,PurchaseItem@1729054234916bfe1c36d7amtjv92z,0,61545,,0,[],,
80,0,Zebronics Mercury Black,,2,2399,0,4798,,0,0,0,0,Purchase@1729054299675a6401df6d1h0wbdix,56de6bdb8d73b1011728278096077,PurchaseItem@1729054321976b727e74468v5sl3ag,0,61545,,0,[],,
81,0,Zebronics Mercury (White),,1,2499,0,2499,,0,0,0,0,Purchase@1729054299675a6401df6d1h0wbdix,Product@1729054356535bf3e23e35y8rt8ulc,PurchaseItem@17290543566119b46502bgy2hhix6y,0,61545,,0,[],,
82,0,Laptop Stand,,5,200,0,1000,,0,0,0,0,Purchase@173081801356680c4a2dbn0mpx7syj,Product@1730818106263a6b89be9cfxax0orr,PurchaseItem@1730818106377b9291ee2gjrex75rh,0,61545,,0,[],,
83,0,Dell Original Charger 90w patla pin,,1,1450,0,1450,,0,0,0,0,Purchase@173081801356680c4a2dbn0mpx7syj,Product@1730818077285b9645479d14e6tt45,PurchaseItem@1730818644544a0b70d3e5vgp8hv76,0,61545,,0,[],,
84,0,SD card 32gb,,1,220,0,220,,0,0,0,0,Purchase@173081801356680c4a2dbn0mpx7syj,Product@1730818667102a367c3376rumsn6k0,PurchaseItem@17308186671889d80df72sujgbexb0,0,61545,,0,[],,
85,0,Dell 7350 M-5Y71C 8gb\/256gb (Detachable) 2 In 1,,1,10000,0,10000,,0,0,0,0,03140fb9a2e59e0b1731564145285,03140fb9a2e59e0b1728711889537,03140fb9a2e59e0b1731564145298,0,61545,,0,[],,
86,0,Board repair,,1,300,0,300,,0,0,0,0,Purchase@173156244446790073a8enafjvlaa8,Product@17315626823619d49fd41garvcnp0y,PurchaseItem@1731562682446ae37257cug45537w6,0,61545,,0,[],,
87,0,Board repair,,1,250,0,250,,0,0,0,0,Purchase@1732478048413b803abd3dywv7g23w,Product@17315626823619d49fd41garvcnp0y,PurchaseItem@1732478172841a5b1513f5ahf7460a,0,61545,,0,[],,
